question_id,factor_id,factor_key,question_text,answer_type,choices,next_factor_hint
6022,52,price_performance,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
6023,52,price_performance,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
6024,52,price_performance,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
7001,53,assembly_difficulty,제품 조립을 직접 하실 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
7002,53,assembly_difficulty,복잡한 조립 과정도 감수하실 수 있나요?,no_choice,,
7003,53,assembly_difficulty,조립 시간이 오래 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
7004,54,delivery_damage,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
7005,54,delivery_damage,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
7006,54,delivery_damage,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
7007,55,storage_capacity,수납 용량이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
7008,55,storage_capacity,수납 시 수납 용량을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
7009,56,bookshelf_odor,냄새에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
7010,56,bookshelf_odor,개봉 시 화학 냄새가 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
7011,56,bookshelf_odor,신제품 냄새 제거에 시간이 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
7012,57,structural_stability,구조 안정성이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
7013,57,structural_stability,사용 시 구조 안정성을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
7014,58,space_fit,공간 활용이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
7015,58,space_fit,설치 시 공간 활용을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
7016,59,bookshelf_maintenance,매일 청소하거나 관리해도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
7017,59,bookshelf_maintenance,관리가 간편한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
7018,59,bookshelf_maintenance,청소 유지보수에 시간을 투자할 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
7019,60,quality_price_ratio,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
7020,60,quality_price_ratio,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
7021,60,quality_price_ratio,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
8001,61,chair_delivery,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
8002,61,chair_delivery,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
8003,61,chair_delivery,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
8004,62,sitting_comfort,착좌감이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
8005,62,sitting_comfort,앉 시 착좌감을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
8006,63,chair_value,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
8007,63,chair_value,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
8008,63,chair_value,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
8009,64,chair_durability,장기간(3년 이상) 사용을 계획하고 계신가요?,no_choice,,
8010,64,chair_durability,제품 내구성이 중요한가요?,single_choice,매우 중요|보통|상관없음,
8011,64,chair_durability,A/S나 수리 가능 여부를 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
8012,65,chair_size,앉에 맞는 크기가 중요한가요?,single_choice,매우 중요|보통|상관없음,
8013,65,chair_size,제품 무게가 가벼운 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
8014,65,chair_size,공간 활용이나 수납을 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
8015,66,chair_assembly,제품 조립을 직접 하실 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
8016,66,chair_assembly,복잡한 조립 과정도 감수하실 수 있나요?,no_choice,,
8017,66,chair_assembly,조립 시간이 오래 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
8018,67,chair_noise,소음에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
8019,67,chair_noise,앉 시 조용한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
8020,67,chair_noise,야간이나 새벽에 사용하실 계획인가요?,single_choice,예|아니오|잘 모르겠음,
9001,68,desk_assembly,제품 조립을 직접 하실 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
9002,68,desk_assembly,복잡한 조립 과정도 감수하실 수 있나요?,no_choice,,
9003,68,desk_assembly,조립 시간이 오래 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
9004,69,desk_delivery,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
9005,69,desk_delivery,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
9006,69,desk_delivery,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
9007,70,desk_dimensions,공간에 맞는 크기가 중요한가요?,single_choice,매우 중요|보통|상관없음,
9008,70,desk_dimensions,제품 무게가 가벼운 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
9009,70,desk_dimensions,공간 활용이나 수납을 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
9010,71,desk_functionality,기능성이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
9011,71,desk_functionality,사용 시 기능성을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
9012,72,desk_stability,책상 안정성이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
9013,72,desk_stability,사용 시 책상 안정성을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
9014,73,desk_price,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
9015,73,desk_price,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
9016,73,desk_price,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
9017,74,desk_maintenance,매일 청소하거나 관리해도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
9018,74,desk_maintenance,관리가 간편한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
9019,74,desk_maintenance,청소 유지보수에 시간을 투자할 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
9020,75,desk_odor,냄새에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
9021,75,desk_odor,개봉 시 화학 냄새가 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
9022,75,desk_odor,신제품 냄새 제거에 시간이 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
10001,76,mattress_packaging,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
10002,76,mattress_packaging,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
10003,76,mattress_packaging,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
10004,77,mattress_value,가성비이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
10005,77,mattress_value,구매 시 가성비을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
10006,78,mattress_firmness,쿠션감/단단함이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
10007,78,mattress_firmness,누움 시 쿠션감/단단함을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
10008,79,mattress_thickness,두께/높이이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
10009,79,mattress_thickness,매트 시 두께/높이을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
10010,80,mattress_sagging,장기간(3년 이상) 사용을 계획하고 계신가요?,no_choice,,
10011,80,mattress_sagging,제품 내구성이 중요한가요?,single_choice,매우 중요|보통|상관없음,
10012,80,mattress_sagging,A/S나 수리 가능 여부를 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
10013,81,mattress_odor,냄새에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
10014,81,mattress_odor,개봉 시 화학 냄새가 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
10015,81,mattress_odor,신제품 냄새 제거에 시간이 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
