question_id,factor_id,factor_key,question_text,answer_type,choices,next_factor_hint
1001,101,crema_quality,커피 크레마가 부드럽고 오래 유지되는 게 중요하신가요?,single_choice,매우 중요함|어느 정도 중요|상관없음,noise_loud
9010,910,stain_issue,배송받은 제품에 작은 오염이 있어도 괜찮으신가요?,single_choice,절대 안 됨|작은 건 괜찮음|별로 신경 안 씀,
10001,1001,back_pain,현재 허리가 안 좋으시거나 디스크가 있으신가요?,single_choice,네 안 좋아요|가끔 뻐근해요|건강해요,sinking_deep
10002,1002,sinking_deep,너무 푹신해서 몸이 가라앉는 느낌이 불편하신가요?,single_choice,매우 불편함|조금 신경 쓰임|오히려 좋음,weight_heavy
10003,1003,weight_heavy,매트리스 밑 청소를 자주 하시거나 이사 계획이 있으신가요?,single_choice,네 그래요|가끔요|아니요,price_regret
10004,1004,price_regret,이 가격대에 어느 정도 품질을 기대하시나요?,single_choice,완벽해야 함|적당히 좋으면 됨|가격 감안함,no_showroom
10005,1005,no_showroom,직접 눕어보지 않고 구매하는 게 불안하신가요?,single_choice,많이 불안함|조금|괜찮음,edge_collapse
10006,1006,edge_collapse,매트리스 가장자리에 걸터앉는 일이 자주 있으신가요?,single_choice,자주 그래요|가끔|거의 안 해요,heat_retention
10007,1007,heat_retention,잘 때 더위를 많이 타시는 편인가요?,single_choice,매우 그래요|보통이에요|추위를 타요,size_error
10008,1008,size_error,침대 프레임 사이즈를 정확히 확인하셨나요?,single_choice,아직 안 함|대략 알고 있음|정확히 확인함,smell_chemical
10009,1009,smell_chemical,냄새에 민감하시거나 환기가 어려운 공간인가요?,single_choice,네 민감해요|보통이에요|아니요,restore_fail
10010,1010,restore_fail,압축 매트리스 복원에 대해 걱정되시나요?,single_choice,많이 걱정됨|조금|별로 안 걱정됨,
